account_name,taxonomy_account_name,account_code,values
เงินสด,เงินสด,100100,"['43,482,674', '-']"
รายการระหว่างธนาคารและตลาดเงินสุทธิ,รายการระหว่างธนาคารและตลาดเงินสุทธิ,100200,"['566,281,377', '-']"
สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,100690,"['64,937,133', '-']"
สินทรัพย์อนุพันธ์,สินทรัพย์อนุพันธ์,103000,"['73,495,286', '-']"
เงินลงทุนสุทธิ,เงินลงทุนสุทธิ,101600,"['298,973,762', '-']"
เงินลงทุนในบริษัทย่อยบริษัทร่วมและการร่วมค้าสุทธิ,เงินลงทุนในบริษัทย่อยบริษัทร่วมและการร่วมค้าสุทธิ,102600,"['749,115', '441,990,988']"
เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับสุทธิ,เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับสุทธิ,102000,"['2,220,624,151', '-']"
ทรัพย์สินรอการขายสุทธิ,ทรัพย์สินรอการขายสุทธิ,103500,"['20,927,588', '-']"
อสังหาริมทรัพย์เพื่อการลงทุนสุทธิ,อสังหาริมทรัพย์เพื่อการลงทุนสุทธิ,103700,"['503,848', '-']"
ที่ดินอาคารและอุปกรณ์สุทธิ,ที่ดินอาคารและอุปกรณ์สุทธิ,103800,"['45,576,578', '-']"
ค่าความนิยมและสินทรัพย์ไม่มีตัวตนอื่นสุทธิ,ค่าความนิยมและสินทรัพย์ไม่มีตัวตนอื่นสุทธิ,104000,"['17,975,023', '-']"
สินทรัพย์ภาษีเงินได้รอตัดบัญชี,สินทรัพย์ภาษีเงินได้รอตัดบัญชี,104400,"['5,709,979', '-']"
สินทรัพย์อื่นสุทธิ,สินทรัพย์อื่นสุทธิ,109900,"['39,897,459', '2,158']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,"['3,399,133,973', '441,993,146']"
เงินรับฝาก,เงินรับฝาก,200100,"['2,523,315,747', '-']"
รายการระหว่างธนาคารและตลาดเงิน,รายการระหว่างธนาคารและตลาดเงิน,200200,"['157,267,641', '-']"
หนี้สินจ่ายคืนเมื่อทวงถาม,หนี้สินจ่ายคืนเมื่อทวงถาม,200300,"['13,238,568', '-']"
หนี้สินทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,หนี้สินทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,200490,"['15,160', '-']"
หนี้สินอนุพันธ์,หนี้สินอนุพันธ์,202100,"['67,909,224', '-']"
ตราสารหนี้ที่ออกและเงินกู้ยืม,ตราสารหนี้ที่ออกและเงินกู้ยืม,202090,"['82,542,418', '1,249,999']"
ประมาณการหนี้สิน,ประมาณการหนี้สิน,202800,"['19,781,737', '-']"
หนี้สินภาษีเงินได้รอตัดบัญชี,หนี้สินภาษีเงินได้รอตัดบัญชี,203200,"['1,295,276', '-']"
หนี้สินอื่น,หนี้สินอื่น,209900,"['80,393,736', '230,829']"
รวมหนี้สิน,รวมหนี้สิน,209999,"['2,945,759,507', '1,480,828']"
หุ้นสามัญ,หุ้นสามัญจดทะเบียน,310120,"['33,991,922', '33,991,922']"
หุ้นสามัญ,หุ้นสามัญชำระแล้ว,310220,"['33,671,073', '33,671,073']"
ส่วนเกินมูลค่าหุ้นสามัญ,ส่วนเกินมูลค่าหุ้นสามัญ,310420,"['11,019,190', '407,069,914']"
