account_name,taxonomy_account_name,account_code,parent_account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,110100,119999,"['317,232', '264,713']"
ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น,ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น,112000,119999,"['701,998', '843,599']"
เงินให้กู้ยืมระยะสั้นแก่บริษัทย่อย,เงินให้กู้ยืมระยะสั้นแก่บริษัทย่อย,112320,112300,"['-', '170,500']"
สินค้าคงเหลือ,สินค้าคงเหลือ,112900,119999,"['915,064', '865,759']"
สินทรัพย์ทางการเงินหมุนเวียนอื่น,สินทรัพย์ทางการเงินหมุนเวียนอื่น,111600,119999,"['165,736', '165,736']"
สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น,119990,119900,"['7,196', '5,977']"
รวมสินทรัพย์หมุนเวียน,รวมสินทรัพย์หมุนเวียน,119999,109999,"['2,107,226', '2,316,284']"
เงินให้กู้ยืมระยะยาวแก่กิจการที่เกี่ยวข้องกัน,บุคคลหรือกิจการที่เกี่ยวข้องกัน,122420,122400,"['7,139', '7,139']"
เงินลงทุนในบริษัทย่อย,เงินลงทุนในบริษัทย่อย,122710,122700,"['-', '101,462']"
เงินลงทุนในบริษัทร่วม,เงินลงทุนในบริษัทร่วม,122620,122600,"['9,600', '10,000']"
อสังหาริมทรัพย์เพื่อการลงทุน,อสังหาริมทรัพย์เพื่อการลงทุน,123700,129999,"['39,745', '39,745']"
ที่ดินอาคารและอุปกรณ์,ที่ดินอาคารและอุปกรณ์,123800,129999,"['910,058', '882,111']"
สินทรัพย์สิทธิการใช้,สินทรัพย์สิทธิการใช้,123900,129999,"['86,448', '66,790']"
ค่าความนิยม,ค่าความนิยม,124200,129999,"['13,588', '-']"
สินทรัพย์ไม่มีตัวตนอื่นนอกจากค่าความนิยม,สินทรัพย์ไม่มีตัวตนอื่นนอกจากค่าความนิยม,124190,124100,"['54,444', '44,568']"
สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,124400,129999,"['83,460', '38,262']"
สินทรัพย์ไม่หมุนเวียนอื่น,สินทรัพย์ไม่หมุนเวียนอื่น,129990,129900,"['17,233', '9,294']"
รวมสินทรัพย์ไม่หมุนเวียน,รวมสินทรัพย์ไม่หมุนเวียน,129999,109999,"['1,221,715', '1,199,371']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,,"['3,328,941', '3,515,655']"
เงินกู้ยืมระยะสั้นจากสถาบันการเงิน,เงินกู้ยืมระยะสั้นจากสถาบันการเงิน,210500,219999,"['49,900', '40,000']"
ที่ถึงกำหนดชำระภายในหนึ่งปี,สถาบันการเงิน,211860,211800,"['34,800', '34,800']"
เจ้าหนี้การค้าและเจ้าหนี้หมุนเวียนอื่น,เจ้าหนี้การค้าและเจ้าหนี้หมุนเวียนอื่น,211100,219999,"['672,471', '639,917']"
ส่วนของหนี้สินตามสัญญาเช่าที่ถึงกำหนดชำระภายในหนึ่งปี,ส่วนของหนี้สินตามสัญญาเช่าที่ถึงกำหนดชำระภายในหนึ่งปี,212400,219999,"['26,665', '18,376']"
เงินกู้ยืมระยะสั้น,เงินกู้ยืมระยะสั้น,211700,219999,"['12,990', '-']"
ภาษีเงินได้นิติบุคคลค้างจ่าย,ภาษีเงินได้นิติบุคคลค้างจ่าย,213000,219999,"['20,254', '20,254']"
หนี้สินหมุนเวียนอื่น,หนี้สินหมุนเวียนอื่น,219900,219999,"['41,505', '33,509']"
รวมหนี้สินหมุนเวียน,รวมหนี้สินหมุนเวียน,219999,209999,"['858,585', '786,856']"
เงินกู้ยืมระยะยาวจากสถาบันการเงิน,เงินกู้ยืมระยะยาวจากสถาบันการเงิน,221860,221800,"['101,984', '101,984']"
หนี้สินตามสัญญาเช่า,หนี้สินตามสัญญาเช่า,222400,229999,"['58,716', '47,021']"
ประมาณการหนี้สินไม่หมุนเวียนสำหรับผลประโยชน์พนักงาน,ประมาณการหนี้สินไม่หมุนเวียนสำหรับผลประโยชน์พนักงาน,222700,229999,"['31,518', '29,657']"
หนี้สินไม่หมุนเวียนอื่น,หนี้สินไม่หมุนเวียนอื่น,229900,229999,"['1,747', '-']"
รวมหนี้สินไม่หมุนเวียน,รวมหนี้สินไม่หมุนเวียน,229999,209999,"['193,965', '178,662']"
รวมหนี้สิน,รวมหนี้สิน,209999,309999,"['1,052,550', '965,518']"
หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,310120,310100,"['345,000', '345,000']"
หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาทชำระครบแล้ว,หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาทชำระครบแล้ว,310220,310200,"['345,000', '345,000']"
ส่วนเกินมูลค่าหุ้นสามัญ,ส่วนเกินมูลค่าหุ้นสามัญ,310420,310400,"['1,315,440', '1,315,440']"
ส่วนเกินทุนจากการเปลี่ยนแปลงสัดส่วนการถือหุ้นในบริษัทย่อย,ส่วนเกินทุนจากการเปลี่ยนแปลงสัดส่วนการถือหุ้นในบริษัทย่อย,319921,319910,"['1,186', '-']"
ทุนสำรองตามกฎหมาย,ทุนสำรองตามกฎหมาย,310611,310610,"['34,500', '34,500']"
ยังไม่ได้จัดสรร,ยังไม่ได้จัดสรร,310620,310600,"['586,396', '855,197']"
องค์ประกอบอื่นของส่วนของผู้ถือหุ้น,องค์ประกอบอื่นของส่วนของผู้ถือหุ้น,319990,319900,"['(5,685)', '-']"
ส่วนได้เสียที่ไม่มีอำนาจควบคุม,ส่วนได้เสียที่ไม่มีอำนาจควบคุม,320130,309998,"['(446)', '-']"
รวมส่วนของผู้ถือหุ้น,รวมส่วนของผู้ถือหุ้น,309998,309999,"['2,276,391', '2,550,137']"
รวมหนี้สินและส่วนของผู้ถือหุ้น,รวมหนี้สินและส่วนของผู้ถือหุ้น,309999,,"['3,328,941', '3,515,655']"
รายได้จากการขาย,รายได้จากการขาย,410102,410100,"['1,304,126', '1,241,559']"
กำไรจากอัตราแลกเปลี่ยนเงินตราต่างประเทศ-สุทธิ,กำไรจากอัตราแลกเปลี่ยนเงินตราต่างประเทศ-สุทธิ,410200,419999,"['12,233', '12,232']"
รายได้อื่น,รายได้อื่น,410200,419999,"['8,927', '10,417']"
รวมรายได้,รวมรายได้,419999,409992,"['1,325,286', '1,264,208']"
