account_name,taxonomy_account_name,account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,110100,"['179,902,363', '179,902,363']"
ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น-สุทธิ,ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น-สุทธิ,112000,"['212,912,074', '212,912,074']"
สินค้าคงเหลือ-สุทธิ,สินค้าคงเหลือ-สุทธิ,112900,"['266,023,276', '266,023,276']"
สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น,119990,"['1,327,515', '1,327,515']"
รวมสินทรัพย์หมุนเวียน,รวมสินทรัพย์หมุนเวียน,119999,"['660,165,228', '660,165,228']"
ที่ดินอาคารและอุปกรณ์-สุทธิ,ที่ดินอาคารและอุปกรณ์-สุทธิ,123800,"['458,208,490', '458,208,490']"
สินทรัพย์สิทธิการใช้-สุทธิ,สินทรัพย์สิทธิการใช้-สุทธิ,123900,"['29,595,738', '29,595,738']"
สินทรัพย์ไม่มีตัวตน-สุทธิ,สินทรัพย์ไม่มีตัวตน-สุทธิ,124190,"['4,541,455', '4,541,455']"
สินทรัพย์ภาษีเงินได้รอตัดบัญชี-สุทธิ,สินทรัพย์ภาษีเงินได้รอตัดบัญชี-สุทธิ,124400,"['30,365,346', '30,365,346']"
สินทรัพย์ไม่หมุนเวียนอื่น,สินทรัพย์ไม่หมุนเวียนอื่น,129990,"['1,711,280', '1,711,280']"
รวมสินทรัพย์ไม่หมุนเวียน,รวมสินทรัพย์ไม่หมุนเวียน,129999,"['524,422,309', '524,422,309']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,"['1,184,587,537', '1,184,587,537']"
เงินกู้ยืมระยะสั้นจากสถาบันการเงิน,เงินกู้ยืมระยะสั้นจากสถาบันการเงิน,210500,"['49,965,132', '49,965,132']"
เงินกู้ยืมระยะยาวจากสถาบันการเงินที่ถึงกำหนดชำระภายในหนึ่งปี,เงินกู้ยืมระยะยาวจากสถาบันการเงินที่ถึงกำหนดชำระภายในหนึ่งปี,211860,"['47,160,000', '47,160,000']"
เจ้าหนี้การค้าและเจ้าหนี้หมุนเวียนอื่น,เจ้าหนี้การค้าและเจ้าหนี้หมุนเวียนอื่น,211100,"['99,731,395', '99,731,395']"
หนี้สินตามสัญญาเช่าที่ถึงกำหนดชำระภายในหนึ่งปี,หนี้สินตามสัญญาเช่าที่ถึงกำหนดชำระภายในหนึ่งปี,212400,"['10,426,462', '10,426,462']"
ภาษีเงินได้ค้างจ่าย,ภาษีเงินได้ค้างจ่าย,213000,"['14,110,541', '14,110,541']"
หนี้สินหมุนเวียนอื่น,หนี้สินหมุนเวียนอื่น,219900,"['2,767,756', '2,767,756']"
รวมหนี้สินหมุนเวียน,รวมหนี้สินหมุนเวียน,219999,"['224,161,286', '224,161,286']"
เงินกู้ยืมระยะยาวจากสถาบันการเงิน,เงินกู้ยืมระยะยาวจากสถาบันการเงิน,221860,"['31,204,185', '31,204,185']"
หนี้สินตามสัญญาเช่า,หนี้สินตามสัญญาเช่า,222400,"['18,109,464', '18,109,464']"
ภาระผูกพันผลประโยชน์พนักงาน,ภาระผูกพันผลประโยชน์พนักงาน,222700,"['16,680,124', '16,680,124']"
หนี้สินไม่หมุนเวียนอื่น,หนี้สินไม่หมุนเวียนอื่น,229900,"['567,314', '567,314']"
รวมหนี้สินไม่หมุนเวียน,รวมหนี้สินไม่หมุนเวียน,229999,"['66,561,087', '66,561,087']"
รวมหนี้สิน,รวมหนี้สิน,209999,"['290,722,373', '290,722,373']"
ทุนจดทะเบียนหุ้นสามัญจำนวน{{number}}หุ้นมูลค่าที่ตราไว้หุ้นละ{{number}}บาท,ทุนจดทะเบียนหุ้นสามัญจำนวน{{number}}หุ้นมูลค่าที่ตราไว้หุ้นละ{{number}}บาท,310120,"['444,000,000', '444,000,000']"
หุ้นสามัญจำนวน{{number}}หุ้นจ่ายชำระแล้วหุ้นละ{{number}}บาท,หุ้นสามัญจำนวน{{number}}หุ้นจ่ายชำระแล้วหุ้นละ{{number}}บาท,310220,"['444,000,000', '444,000,000']"
ส่วนเกินมูลค่าหุ้น,ส่วนเกินมูลค่าหุ้น,310420,"['371,924,208', '371,924,208']"
จัดสรรแล้ว-ทุนสำรองตามกฎหมาย,จัดสรรแล้ว-ทุนสำรองตามกฎหมาย,310611,"['19,918,372', '19,918,372']"
ยังไม่ได้จัดสรร,ยังไม่ได้จัดสรร,310620,"['58,022,584', '58,022,584']"
รวมส่วนของเจ้าของ,รวมส่วนของเจ้าของ,309998,"['893,865,164', '893,865,164']"
รวมหนี้สินและส่วนของเจ้าของ,รวมหนี้สินและส่วนของเจ้าของ,309999,"['1,184,587,537', '1,184,587,537']"
รายได้จากการขาย,รายได้จากการขาย,410102,"['220,734,468', '220,734,468']"
ต้นทุนขาย,ต้นทุนขาย,420410,"['(148,289,940)', '(148,289,940)']"
รายได้อื่น,รายได้อื่น,410200,"['3,615,254', '3,615,254']"
ค่าใช้จ่ายในการขาย,ค่าใช้จ่ายในการขาย,422110,"['(27,875,885)', '(27,875,885)']"
ค่าใช้จ่ายในการบริหาร,ค่าใช้จ่ายในการบริหาร,422120,"['(15,524,540)', '(15,524,540)']"
กำไรอื่น(ขาดทุน)-สุทธิ,กำไรอื่น(ขาดทุน)-สุทธิ,439790,"['165,733', '165,733']"
ต้นทุนทางการเงิน,ต้นทุนทางการเงิน,429900,"['(1,822,066)', '(1,822,066)']"
ภาษีเงินได้,ภาษีเงินได้,439800,"['(6,226,679)', '(6,226,679)']"
กำไรสำหรับรอบระยะเวลา,กำไร (ขาดทุน) สุทธิ สำหรับงวด / กำไร (ขาดทุน) จากการดำเนินงานต่อเนื่อง,409991,"['24,776,345', '24,776,345']"
กำไรเบ็ดเสร็จรวมสำหรับรอบระยะเวลา,การแบ่งปันกำไร (ขาดทุน) เบ็ดเสร็จรวม : ผู้ถือหุ้นบริษัทใหญ่,470100,"['24,776,345', '24,776,345']"
กำไรต่อหุ้นขั้นพื้นฐาน,กำไรต่อหุ้นขั้นพื้นฐาน,480100,"['0.03', '0.03']"
รายได้จากการขาย,รายได้จากการขาย,410102,"['458,192,754', '458,192,754']"
ต้นทุนขาย,ต้นทุนขาย,420410,"['(310,241,340)', '(310,241,340)']"
รายได้อื่น,รายได้อื่น,410200,"['6,089,467', '6,089,467']"
ค่าใช้จ่ายในการขาย,ค่าใช้จ่ายในการขาย,422110,"['(57,731,783)', '(57,731,783)']"
ค่าใช้จ่ายในการบริหาร,ค่าใช้จ่ายในการบริหาร,422120,"['(31,705,309)', '(31,705,309)']"
กำไรอื่น-สุทธิ,กำไรอื่น-สุทธิ,439790,"['498,604', '498,604']"
ต้นทุนทางการเงิน,ต้นทุนทางการเงิน,429900,"['(3,535,291)', '(3,535,291)']"
ภาษีเงินได้,ภาษีเงินได้,439800,"['(12,265,780)', '(12,265,780)']"
กำไรสำหรับรอบระยะเวลา,กำไรสำหรับรอบระยะเวลา,409991,"['49,301,322', '49,301,322']"
กำไรเบ็ดเสร็จรวมสำหรับรอบระยะเวลา,กำไรเบ็ดเสร็จรวมสำหรับรอบระยะเวลา,470100,"['49,301,322', '49,301,322']"
กำไรต่อหุ้นขั้นพื้นฐาน,กำไรต่อหุ้นขั้นพื้นฐาน,480100,"['0.06', '0.06']"
กำไรก่อนภาษีเงินได้,กำไรก่อนภาษีเงินได้,510200,"['61,567,102', '61,567,102']"
ค่าเสื่อมราคา,ค่าเสื่อมราคา,510310,"['27,130,185', '27,130,185']"
ค่าตัดจำหน่าย,ค่าตัดจำหน่าย,510320,"['404,492', '404,492']"
(กลับรายการ)ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,(โอนกลับ) ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,510400,"['(146,847)', '(146,847)']"
อาคารและอุปกรณ์,อาคารและอุปกรณ์,511510,"['10,927', '10,927']"
กำไรจากการยกเลิกสัญญาเช่า,กำไรจากการยกเลิกสัญญาเช่า,511600,"['(26,327)', '(26,327)']"
